Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Первомайский район. краеведческий музей,137913,"636930 Томская обл., Первомайский р-н, с.Первомайское, ул.Коммунистическая, 8",17911,2032,1459,64,3.2,8,3
Янаульский историко-краеведческий музей,124650,"452800 Респ.Башкортостан, г.Янаул, ул.Ленина, 9",9866,2041,0,40,8.8,4,1
Бардымский районный краеведческий музей,134455,"618150 Пермский край, Бардымский р-н, с.Барда, ул.Ленина, 39",5557,2141,7698,42,9.2,3,1
"Омский государственный историко-культурный музей-заповедник ""Старина Сибирская""",120363,"646670 Омская обл., п.Большеречье, ул.Советов, 29",15395,5367,6867,54,37.6,77,16
Коношский районный краеведческий музей,130933,"164010 Архангельская обл., п.Коноша, пр.Октябрьский, 12",2721,552,25,18,12.7,7,3
Музей нар.промыслов и ремесел г.Елец,135941,"399770 Липецкая обл., г.Елец, ул.Ленина, 68",0,0,0,19,14,0,1
Гафурийский историко-краеведческий музей,139887,"453050 Респ.Башкортостан,Гафурийский р-н,с.Красноусольский,ул.Октябрьская,2а",4720,427,0,7,0.4,1,1
Дом-музей И.С.Соколова-Микитова,139656,"215450 Смоленская обл., Угранский р-н, д.Полднево",310,218,0,3,1,2,1
Замок Шереметева,141367,"425370 Респ.Марий Эл, Юринский р-н, п.Юрино, Центральный проспект, 1",0,0,0,11,21.5,39,1
"ГМО ""Художеств.культура русского Севера""",112649,"163000 г.Архангельск, пл.Ленина, 2",34061,4116,25394,40,141.9,158,8
"Музей-заповедник ""Пустозерск""",131029,"166000 Архангельская обл., Ненецкий а.о., г.Нарьян-Мар, ул.Тыко Вылки, 4",3507,6974,673,10,3.3,23,9
Музей-усадьба Г.И.Чорос-Гуркина в с.Анос,138418,"649230 Респ.Алтай, Чемальский р-н, с.Анос, ул.Центральная, 31",256,210,0,1,0.4,5,2
Волгоград.обл.детская художеств.галерея,113529,"400131 г.Волгоград, ул.Советская, 26",22946,0,0,17,38.1,29,2
Уржумский музейно-выставочный центр,138719,"613530 Кировская обл., г.Уржум, ул.Кирова, 70",15185,4001,574,58,27.4,15,5
Томский обл. краеведческий музей,123056,"634050 г.Томск, пр.Ленина, 75",185027,12882,35891,197,101.2,114,10
Торопецкий краеведческий музей,115543,"172850 Тверская обл., г.Торопец, ул.Комсомольская, 2",13619,5303,74,12,6.5,4,2
Дом-музей В.И.Ленина,138102,"450077 г.Уфа, ул.Достоевского, 78",6523,651,0,18,2.3,14,1
Краснотуранский ист.-этнографич.музей,111773,"662660 Красноярский край, с.Краснотуранск, ул.Ленина, 6",11295,5782,642,27,3.7,6,1
Историко-культурный музей им.Бирюковых,140386,"157933 Костромская обл., Красносельский р-н, д.Ивановское, ул.Центральная, 17",226,174,249,4,0.6000000000000001,3,2
"Ист-культ.музей-зап.""Иднакар"", Глазов",139406,"427620 Удмуртская Респ., г.Глазов, ул.Советская, 27",23352,17839,22283,24,47.8,37,1
Уренгойский краеведческий музей,134741,"629860 Ямало-Ненецкий а.о., Пуровский р-н, п.Уренгой, ул.Попенченко, 1, корп.3",2181,402,2583,33,8.2,4,1
"Объединение ""Выставочные залы Москвы""",141069,"105120 г.Москва, ул.Нижняя Сыромятническая, 10, стр.9",0,0,0,168,48.2,233,24
Черемисский ист.-литературный музей,136643,"623736 Свердловская обл., с.Черемисское, ул.Ленина, 33а",9309,1572,0,19,0.9,6,1
Мем.музей-квартира А.Шогенцукова,125494,"360022 г.Нальчик, ул.Горького, 35",565,513,0,2,2.5,3,1
Угличский ист-арх.и художественный музей,124241,"152615 Ярославская обл., г.Углич, Кремль, 3",27018,11851,38869,17,260.4,52,5
Музей Кондопожского края,125948,"186225 Респ.Карелия, г.Кондопога, ул.Пролетарская, 13",3510,345,631,19,21.5,5,2
Поярковский районный краеведческий музей,112475,"676680 Амурская обл., с.Поярково, ул.О.Кошевого, 1а",14762,2059,0,66,17,6,1
"Гос.ист.-мем.музей-зап.""Родина Ленина""",123592,"432017 г.Ульяновск, ул.Ленина, 98",32040,11577,43617,111,202.2,126,27
Знаменский районный краеведческий музей,136821,"393400 Тамбовская обл., п.Знаменка, ул.Парковая, 1",8324,4212,0,46,3.5,4,2
Буденновский краеведческий музей,130702,"356800 Ставропольский край, г.Буденновск, ул.Октябрьская, 43",5969,751,603,20,10,7,1
Александровский ист-краеведческий музей,112013,"356300 Ставропольский р-н, с.Александровское, ул.К.Маркса, 41",12890,1307,12121,20,11.5,7,1
Мценский гор. краеведческий музей,120772,"303030 Орловская обл., г.Мценск, ул.Тургенева, 104",16385,5754,0,32,7.8,13,2
"Музейно-культурный центр, Нягань",129279,"628181 Ханты-Мансийский а.о., г.Нягань, 3-й микрорайон, 3",15493,2096,17589,51,17.7,19,2
Мончегорский музей цветн.камня им.Дава,110662,"184511 Мурманская обл., г.Мончегорск, пр.Металлургов, 46",3146,502,1923,30,12,8,1
Костромская художественная галерея,133400,"156013 г.Кострома, пл.Мира, 2",1458,503,1458,22,45.2,18,2
"Музей-диор.""Курская битва.Белгор.напр.""",112940,"308600 г.Белгород, ул.Попова, 2",10608,5856,16464,27,158.4,56,1
Верховажский ист.-художественный музей,113726,"162300 Вологодская обл., с.Верховажье, ул.Луначарского, 29/20",7090,1450,7005,26,6.2,5,2
Туринский дом-музей декабристов,136893,"623900 Свердловская обл., г.Туринск, ул.Революции, 11",0,0,0,22,11.7,17,3
Краеведческий музей г.Железнодорожного,134703,"143986 Московская обл., г.Железнодорожный, ул.Новая, 18",4310,4156,180,11,15,11,2
Воронежский обл.лит.музей им.И.Никитина,114057,"394038 г.Воронеж, ул.Плехановская, 3",17326,10294,27620,22,72.3,64,5
Первомайский исторический народный музей,142714,"296300 Республика Крым, п.Первомайское, ул.87-й дивизии, к.6",704,156,0,10,1.3,1,1
Осташевский краеведческий музей,119224,"143623 Московская обл., Волоколамский р-н, с.Осташево, мкрн.1",868,940,0,0,1.1,1,1
